EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	07:32:31	0	0.1000	0.6387859344482422	1.2981122732162476	0.0	0.0	0.0	1.3780931234359741	0.0	0.0	0.0
1	07:42:17	0	0.1000	0.5977002799510955	1.3286850452423096	0.0	0.0	0.0	1.4985607862472534	0.0	0.0	0.0
2	07:51:31	1	0.1000	0.5388383269309998	1.5224592685699463	0.0	0.0	0.0	1.7396899461746216	0.0	0.0	0.0
3	08:01:40	0	0.0500	0.5642131745815278	0.8037463426589966	0.3889	0.3889	0.3889	1.0153758525848389	0.1667	0.1667	0.1667
4	08:10:49	0	0.0500	0.47355327010154724	0.9107889533042908	0.2778	0.2778	0.2778	1.166557788848877	0.1111	0.1111	0.1111
5	08:20:06	1	0.0500	0.46558079719543455	0.8113716840744019	0.4444	0.4444	0.4444	1.0787675380706787	0.1667	0.1667	0.1667
6	08:28:52	0	0.0500	0.5005675256252289	0.8163462281227112	0.3889	0.3889	0.3889	1.0808851718902588	0.1667	0.1667	0.1667
7	08:37:04	1	0.0500	0.45463196039199827	0.7260242104530334	0.5	0.5	0.5	0.9996324181556702	0.2778	0.2778	0.2778
8	08:44:22	0	0.0500	0.43566877841949464	0.9011313319206238	0.3333	0.3333	0.3333	1.2068829536437988	0.1667	0.1667	0.1667
9	08:51:37	1	0.0500	0.4590370118618011	0.9353657960891724	0.1667	0.1667	0.1667	1.2475476264953613	0.1667	0.1667	0.1667